All http domains,All https domains,webRequest,webRequestBlocking,tabs,storage,notifications,cookies,management,contextmenus,security_policy,dynamic_code_gen_functions,whitespace %,avg_line_length,specific_characters,word_size,string_entropy,DOM_operations,DOM_change_sinks,event_handlers,HTTP_scripts,modification_callbacks,XMLHttpRequests,keyword_density,DOM_operations_density,DOM_change_sinks_density,XMLHttpRequests_density,event_handlers_density,modification_callbacks_density,HTTP_scripts_density,num_background_image,num_behavior,num_import_rules,num_external_urls,num_iframe_tags,num_form_tags,num_script_tags,num_inline_event_handlers,num_password_inputs,num_meta_refresh,num_http_urls,num_javascript_urls,num_data_urls,num_external_iframe_src,num_external_script_src,num_script_src_attrs,Extension Name,num_external_form_actions,num_object_tags,num_embed_tags
0,0,0,0,1,1,0,0,0,0,1,5,0.4587405970572929,35.91137693180826,0.0781567866773903,5.347375148891665,3.126949509566784,84,15,10,0,0,0,0.0615903082420615,0.0073343228848336,0.0013097005151488,0.0,0.0008731336767659,0.0,0.0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,__MSG_app_name__,,,
0,0,0,0,0,1,0,0,0,0,1,7,0.3802601039592164,66.47677649861056,0.0707299207803707,6.173335269769806,3.121832721629013,39,9,15,0,0,7,0.045058456176022,0.0077411671298134,0.001786423183803,0.001389440254069,0.0029773719730051,0.0,0.0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,__MSG_game_name__,,,
0,0,0,0,0,0,0,0,0,0,1,4,0.5006228287270301,65.44682245031666,0.0650042562701926,6.293585990859138,2.341041718139687,31,8,6,0,0,3,0.0378472757150926,0.00677003712601,0.0017471063550993,0.0006551648831622,0.0013103297663245,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,__MSG_name__,,,
0,0,0,0,0,1,0,0,0,0,0,2,0.3371724995702426,33.995753715498935,0.0855975650450486,7.246174678402166,3.4830059513774243,75,14,17,0,0,0,0.0419769803656059,0.0265392781316348,0.0049539985845718,0.0,0.0060155697098372,0.0,0.0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,2,Return Dislike for Youtube™,,,
0,1,0,0,0,0,0,0,0,0,1,73,0.5079455938654817,58.25870234253616,0.0819424898992522,3.659192801157072,2.6517942676639024,82,50,41,0,0,3,0.0572619449856901,0.0006125253973945,0.0003734910959722,2.2409465758336323e-05,0.0003062626986972,0.0,0.0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,inToken wallet,,,
0,0,1,1,0,0,0,0,0,0,0,7,0.2996584474678589,47.664549972390944,0.0945170038694157,4.703651115618661,3.29189225598668,57,28,25,0,0,0,0.050050709939148,0.0157371617890668,0.0077305356156819,0.0,0.0069022639425731,0.0,0.0,12,0,0,1,0,1,8,0,0,0,0,0,0,0,0,8,One Punch Man 2 Wallpapers HD New Tab,,,
0,0,0,0,0,0,0,0,0,0,0,1,0.2196958058073436,31.87878787878788,0.0924873252419726,6.998336106489185,3.851136963613381,16,2,4,0,0,0,0.0199667221297836,0.0808080808080808,0.0101010101010101,0.0,0.0202020202020202,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Ledger AI Quiz,,,
0,0,0,0,0,1,0,0,0,0,1,62,0.4602882019565726,37.04549547014799,0.1005800497925065,3.5793702202348614,2.9258316906385087,709,12,60,0,0,2,0.0462757880953376,0.0099741151313938,0.0001688143604749,2.8135726745821844e-05,0.0008440718023746,0.0,0.0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,3,PancakeSwap,,,
0,0,0,0,0,1,0,0,0,0,1,27,0.5636006930670838,34.73528133462606,0.0614395362587849,3.788256868348221,2.905660057530283,33,1,40,0,0,4,0.075129941723106,0.0011032730433619,3.343251646551436e-05,0.000133730065862,0.0013373006586205,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,Browser Game in CrossyRoad-style,,,
0,0,1,1,0,1,0,1,1,0,0,28,0.3721476879498463,40.23000490677134,0.1107957165852889,4.241646118527336,3.03392942015316,108,13,13,0,0,3,0.0678513731825525,0.0132482826300294,0.0015947006869479,0.0003680078508341,0.0015947006869479,0.0,0.0,25,0,15,2,0,0,15,0,0,0,1,0,0,0,0,15,Inferno Climber Reborn Wallpapers,,,
