All http domains,All https domains,webRequest,webRequestBlocking,tabs,storage,notifications,cookies,management,contextmenus,security_policy,dynamic_code_gen_functions,whitespace %,avg_line_length,specific_characters,word_size,string_entropy,DOM_operations,DOM_change_sinks,event_handlers,HTTP_scripts,modification_callbacks,XMLHttpRequests,keyword_density,DOM_operations_density,DOM_change_sinks_density,XMLHttpRequests_density,event_handlers_density,modification_callbacks_density,HTTP_scripts_density,num_background_image,num_behavior,num_import_rules,num_external_urls,num_iframe_tags,num_form_tags,num_script_tags,num_inline_event_handlers,num_password_inputs,num_meta_refresh,num_http_urls,num_javascript_urls,num_data_urls,num_external_iframe_src,num_external_script_src,num_script_src_attrs,Extension Name
0,0,0,0,0,1,0,0,0,0,0,1,0.5202105457258044,30.990401115401117,0.0681407102565607,3.5539407011777597,3.02366232720074,18,8,6,0,0,0,0.025506710490276637,0.0009652509652509653,0.000429000429000429,0.0,0.00032175032175032174,0.0,0.0,17,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,QR Code Generator
0,0,0,0,0,0,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BIODIGITAL HUMAN
1,1,0,0,0,1,0,0,0,0,1,344,0.38979829662248316,70.60668761785041,0.0800455885755987,4.5703387838317235,2.8202587520876206,1627,316,634,0,0,0,0.05489782630685874,0.0034087575948041062,0.0006620574062434528,0.0,0.0013283050492352818,0.0,0.0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,__MSG_appName__
0,0,1,0,1,1,0,1,0,0,0,42,0.4862997662030087,51.59997870528109,0.07097982193643286,3.739169006362866,2.5744100587441068,2826,6,62,0,3,1,0.03363181765321549,0.05014906303236797,0.00010647359454855196,1.7745599091425327e-05,0.0011002271436683702,5.323679727427598e-05,0.0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,Postman Interceptor
0,0,0,0,0,1,0,0,0,0,0,24,0.5523356334548352,52.710438952416084,0.08338555679365696,3.569172651178845,2.57652199619722,110,14,32,0,0,0,0.03735486159716962,0.005071929177425305,0.0006455182589450387,0.0,0.0014754703061600886,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,__MSG_ext_name__
0,0,0,0,1,1,1,0,0,0,1,536,0.4907713955179235,54.767739760985336,0.06928003562743053,5.7038392264997935,2.7303286143287653,2354,123,682,0,0,4,0.03833883280845277,0.0022668836609111833,0.0001184480417553422,3.851968837572104e-06,0.0006567606868060437,0.0,0.0,150,1,0,0,2,0,14,0,0,0,0,0,0,0,0,14,Apollo.io: Free B2B Phone Number & Email Finder
1,1,0,0,1,1,1,0,0,0,1,200,0.34793753793430765,36.9905322371859,0.06927623835875833,4.1040882016226705,2.7404702069408002,2209,196,379,0,0,1,0.036292895271508537,0.0075448369611623625,0.0006694377747341889,3.415498850684637e-06,0.0012944740644094774,0.0,0.0,54,0,1,9,0,0,17,0,0,0,0,0,0,0,0,17,__MSG_ext_name__
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rose
0,0,0,0,0,0,0,0,0,0,1,9,0.3561453424539644,38.73215210858978,0.09817239661705607,6.567229436520543,3.2878049740801822,48,8,22,0,0,6,0.09278333633550036,0.0024867889337892445,0.00041446482229820747,0.00031084861672365556,0.0011397782613200705,0.0,0.0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,__MSG_appName__
0,1,1,0,0,1,0,1,0,0,0,27,0.14794648638765434,186.14524249630074,0.05375275869600243,12.760622497072642,2.8376875732403115,61,30,19,0,0,2,0.023758616228620365,0.0002883765346595502,0.00014182452524240174,9.45496834949345e-06,8.982219932018778e-05,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Keyword Surfer
0,0,0,0,0,0,0,1,0,0,1,138,0.5010525315584488,45.04554909907711,0.07491437112273355,4.098434084382277,2.9995431614150974,2744,22,146,0,0,6,0.05451653307806242,0.026798183505053957,0.0002148542409297329,5.8596611162654426e-05,0.001425850871624591,0.0,0.0,2,1,0,1,0,0,3,0,0,0,0,0,0,0,0,3,__MSG_ext_name_production__
1,1,1,0,1,1,0,0,0,0,0,274,0.44825121207513224,62.90319086945164,0.07349139771597715,4.523307131860913,3.1174093236657416,1213,125,367,0,0,9,0.05292963398079352,0.0024373580886933107,0.0002511704543171178,1.808427271083248e-05,0.0007374364538750578,0.0,0.0,1,0,0,0,0,0,62,0,0,0,0,0,0,0,0,62,Solflare Wallet
0,1,0,0,0,1,0,0,0,0,1,4,0.35363216488239846,41.31518300948938,0.09298662466294684,3.42048482201354,3.37571451402658,11,4,18,0,0,0,0.050272985367984274,0.0024853140533212833,0.0009037505648441031,0.0,0.004066877541798464,0.0,0.0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,Earth View from Google Earth
1,1,1,0,1,1,0,0,0,0,1,165,0.18262089595246836,100.54960613994673,0.05954647204703502,18.46533775883529,2.9644308446040037,1158,55,118,0,6,2,0.08372442629222322,0.013012551831084043,0.0006180400265195356,2.247418278252857e-05,0.0013259767841691857,6.742254834758571e-05,0.0,622,3,1,15,0,0,162,0,0,0,0,0,0,0,0,162,__MSG_appName__
0,0,0,0,1,1,0,0,0,0,1,15,0.496538907914053,59.902043643921026,0.07591993809391798,3.996746663141176,2.6602117652171815,167,15,88,0,0,2,0.0637714767576684,0.0016527289821366717,0.00014844871097035973,1.9793161462714633e-05,0.0008708991043594438,0.0,0.0,6,0,0,44,2,0,5,0,1,0,0,0,4,0,0,5,Glasp Web Highlighter: PDF & Web Highlight
0,0,0,0,0,1,0,0,0,0,0,77,0.4846133482613932,52.4879190618533,0.06428809894476718,5.853832714405053,2.7654785874482197,1125,37,226,0,0,1,0.053435236773950304,0.005173603127155668,0.00017015405840423086,4.598758335249483e-06,0.0010393193837663832,0.0,0.0,1,0,0,0,0,0,193,0,0,0,0,0,0,0,0,193,Calendly: Meeting Scheduling Software
0,0,0,0,0,1,0,0,0,0,0,8,0.4383587037587891,50.55945765725717,0.10655147588192944,3.1883486797320053,3.0490777495719223,17,2,2,0,0,0,0.03976926659739888,0.003778617470549011,0.0004445432318292954,0.0,0.0004445432318292954,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,__MSG_appName__
0,0,0,0,0,1,0,0,0,0,0,11,0.5083101841838491,46.613772723202295,0.10177789229580005,3.3501922287335297,2.7029983613007635,244,13,17,0,0,0,0.043932663954313014,0.021850094027043968,0.0011641443538998836,0.0,0.0015223426166383093,0.0,0.0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,4,Color Picker for Chrome™
