All http domains,All https domains,webRequest,webRequestBlocking,tabs,storage,notifications,cookies,management,contextmenus,security_policy,dynamic_code_gen_functions,whitespace %,avg_line_length,specific_characters,word_size,string_entropy,DOM_operations,DOM_change_sinks,event_handlers,HTTP_scripts,modification_callbacks,XMLHttpRequests,keyword_density,DOM_operations_density,DOM_change_sinks_density,XMLHttpRequests_density,event_handlers_density,modification_callbacks_density,HTTP_scripts_density,num_background_image,num_behavior,num_import_rules,num_external_urls,num_iframe_tags,num_form_tags,num_script_tags,num_inline_event_handlers,num_password_inputs,num_meta_refresh,num_http_urls,num_javascript_urls,num_data_urls,num_external_iframe_src,num_external_script_src,num_script_src_attrs,Extension Name
0,0,0,0,0,1,0,0,0,0,0,53,0.4136849653008802,72.6901940632368,0.061644981938736916,5.690642513745385,2.947917229522298,197,28,112,0,0,2,0.034237297139366255,0.005954899945589747,0.0008463817181548879,6.0455837011063415e-05,0.0033855268726195515,0.0,0.0,6,2,1,0,0,1,1,0,0,0,0,25,0,0,0,1,__MSG_appName__
0,0,0,0,0,1,0,0,0,0,0,6,0.34489574998823364,33.51380617217109,0.0757597150970333,5.404388185654009,3.284024072341059,24,12,20,0,0,0,0.07881856540084388,0.012994044396318355,0.006497022198159177,0.0,0.010828370330265295,0.0,0.0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,__MSG_appName__
0,0,0,0,0,1,0,0,0,0,0,6,0.37246737637362637,35.35101404056162,0.08387706043956043,4.838794233289646,3.3589147498185103,13,18,21,0,0,0,0.020096111839231105,0.0202808112324493,0.028081123244929798,0.0,0.0327613104524181,0.0,0.0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,__MSG_appName__
0,0,0,0,0,1,0,0,0,0,0,3,0.2821224051539012,16.49452269170579,0.0845561918396564,5.7434270172257476,3.5224764256571692,30,1,9,0,0,0,0.022665457842248413,0.046948356807511735,0.001564945226917058,0.0,0.014084507042253521,0.0,0.0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,1,Amazon Profit Calculator Lite
0,1,0,0,0,1,0,0,0,0,0,10,0.5524967115530387,46.364572333685324,0.09157210059303518,3.457405939386548,2.8523446043446152,45,8,15,0,0,2,0.06213793523995365,0.0029699049630411826,0.0005279831045406547,0.00013199577613516366,0.0009899683210137275,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazon Image Downloader with Videos | 10X
0,0,0,0,0,1,0,0,0,0,0,0,0.2813169164882227,17.734335839598998,0.0869914346895075,6.1814404432132966,3.888711806107437,14,1,3,0,0,0,0.0443213296398892,0.03508771929824561,0.002506265664160401,0.0,0.007518796992481203,0.0,0.0,0,0,0,30,0,0,1,0,0,0,0,0,0,0,0,1,Amazon Weight Converter
0,0,0,0,0,1,0,0,0,0,0,1,0.2682926829268293,18.648920863309353,0.08327840035157108,5.478985507246377,3.487298908582645,27,3,9,0,0,0,0.014492753623188406,0.03884892086330935,0.004316546762589928,0.0,0.012949640287769784,0.0,0.0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,1,Amazon Keyword Density & SEO Tool
0,0,0,0,1,1,0,0,0,0,1,45,0.4387191093211117,46.73350977056159,0.09969416062558974,4.314098119728021,3.1786941479651847,133,24,35,0,0,6,0.05475709886839326,0.0009311964824577986,0.00016803545548110653,4.200886387027663e-05,0.000245051705909947,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Zuvu AI: The Ultimate AI Agent Sidebar for Google Search & Beyond
0,0,0,0,0,1,0,0,0,0,0,6,0.34484164954275226,33.51922035733622,0.07574783140656617,5.4060759493670885,3.284024072341059,24,12,20,0,0,0,0.07881856540084388,0.012994044396318355,0.006497022198159177,0.0,0.010828370330265295,0.0,0.0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,__MSG_appName__
0,0,0,0,0,1,0,0,0,0,0,50,0.5554688239944844,33.430449788048165,0.0709855974849473,3.5557400264101564,2.5638232608342353,372,52,129,0,0,1,0.05001540734721332,0.000996789907770138,0.0001393362236667935,2.679542762822952e-06,0.0003456610164041608,0.0,0.0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,__MSG_name__
1,1,0,0,0,1,0,0,0,0,1,1,0.26184514050577057,63.74184183021716,0.13512446949340431,4.094228960327561,2.975818946081301,66,5,6,0,0,0,0.07523654069606596,0.0076646150272906746,0.0005806526535826269,0.0,0.0006967831842991523,0.0,0.0,30,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,__MSG_appName__
1,1,0,0,0,1,0,0,0,0,1,2,0.23831796810004405,63.15795193817172,0.13918868556671923,4.064816885658373,3.102925391701528,66,5,6,0,0,0,0.07232317584568074,0.007970051926095883,0.0006037918125830214,0.0,0.0007245501750996257,0.0,0.0,30,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,__MSG_appName__
0,0,0,0,0,1,0,0,0,0,0,45,0.400135806403716,74.74738096072318,0.05989635973155107,5.910874120368688,2.941663623120843,183,18,85,0,0,2,0.03711105458861718,0.006411828597456291,0.0006306716653235696,7.007462948039662e-05,0.0029781717529168564,0.0,0.0,6,2,1,0,0,1,1,0,0,0,0,25,0,0,0,1,__MSG_appName__
0,0,0,0,0,1,0,0,0,0,0,44,0.40006362244596166,74.77895034059225,0.059615070229213134,5.926068326436304,2.940921170215107,183,18,83,0,0,2,0.03634540975690263,0.006458899516464899,0.0006353015917834327,7.058906575371475e-05,0.002929446228779162,0.0,0.0,6,2,1,0,0,1,1,0,0,0,0,25,0,0,0,1,__MSG_appName__
0,0,0,0,0,1,0,0,0,0,0,2,0.29679702386353324,17.193069306930692,0.08520097994737319,5.794545454545455,3.5961051040891037,17,0,2,0,0,0,0.038181818181818185,0.028052805280528052,0.0,0.0,0.0033003300330033004,0.0,0.0,0,0,0,29,0,0,2,0,0,0,0,0,0,0,0,2,Amazon Character Count & Seller Tools
0,0,0,0,0,1,0,0,0,0,0,6,0.34474932623051585,33.505165851005984,0.07604532774354206,5.400813145858038,3.2895653857098135,24,12,20,0,0,0,0.07877350499745892,0.013050570962479609,0.0065252854812398045,0.0,0.010875475802066341,0.0,0.0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,__MSG_appName__
0,0,0,0,0,1,0,0,0,0,0,50,0.5280431673751738,56.30010180906884,0.08234020093932048,3.884089217422551,2.901456187938784,163,11,51,0,0,2,0.0878108878108878,0.004255096979664291,0.00028715378390372514,5.2209778891586395e-05,0.0013313493617354531,0.0,0.0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,__MSG_appName__
0,0,0,0,0,1,0,0,0,0,0,3,0.3017170891251022,16.731884057971016,0.0866721177432543,5.869848156182212,3.5700575266635965,12,8,6,0,0,0,0.02386117136659436,0.021739130434782608,0.014492753623188406,0.0,0.010869565217391304,0.0,0.0,0,0,0,31,0,0,2,0,0,0,0,0,0,0,0,2,Amazon Sticky Notes
0,0,0,0,0,1,0,0,0,0,0,2,0.2615579480683977,19.121019108280255,0.08328055731475617,5.9303991811668375,3.833577781185535,14,0,2,0,0,0,0.03172978505629478,0.029723991507430998,0.0,0.0,0.004246284501061571,0.0,0.0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,1,Amazon Negative Review Highlighter
0,0,0,0,0,0,0,0,0,0,0,0,0.20833333333333334,31.166666666666668,0.07291666666666667,6.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,Grok Sidebar
0,0,0,0,0,1,0,0,0,0,0,6,0.3448200141165399,33.52138603140227,0.07582150419574936,5.406751054852321,3.2840315849246364,24,12,20,0,0,0,0.07881856540084388,0.012994044396318355,0.006497022198159177,0.0,0.010828370330265295,0.0,0.0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,__MSG_appName__
0,0,0,0,0,1,0,0,0,0,0,2,0.2518150174042765,18.013232514177695,0.08572849328692193,6.107361963190184,3.742229417216879,6,1,2,0,0,0,0.027607361963190184,0.011342155009451797,0.001890359168241966,0.0,0.003780718336483932,0.0,0.0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,1,Amazon Listing Score Checker
0,0,1,0,0,1,0,0,0,0,0,11,0.4850160213491961,54.42240363207753,0.07369032953252948,4.634547262144919,2.7429201851269256,171,9,9,0,0,0,0.02869608022933699,0.007464967040642598,0.0003928930021390841,0.0,0.0003928930021390841,0.0,0.0,22,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,__MSG_name__
0,0,0,0,0,1,0,0,0,0,0,2,0.2568514977692798,15.771367521367521,0.08591459528362014,5.4804147465437785,3.5649607545338413,9,2,4,0,0,0,0.026497695852534562,0.019230769230769232,0.004273504273504274,0.0,0.008547008547008548,0.0,0.0,0,0,0,17,0,0,2,0,0,0,0,0,0,0,0,2,AliExpress Deals Countdown - Flash Sale Timer
0,1,0,0,0,1,0,0,0,0,0,17,0.4496342264076541,35.179952934255034,0.10774822093172158,3.5092511335381014,3.0561219623147315,51,5,32,0,0,2,0.04380576276144508,0.003750551551698779,0.0003677011325194882,0.00014708045300779526,0.0023532872481247242,0.0,0.0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,__MSG_appName__
0,0,0,0,0,1,0,0,0,0,0,20,0.4117231716921947,42.3115727532097,0.11024665908298369,4.506658766815238,2.9772076923133817,108,13,41,0,0,1,0.03321977296904246,0.0019258202567760342,0.000231811697574893,1.783166904422254e-05,0.0007310984308131241,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,__MSG_appName__
1,1,0,0,0,1,0,0,0,0,1,2,0.23831043919847314,63.15795193817172,0.13920186114446834,4.065100089465444,3.1028811943673515,66,5,6,0,0,0,0.07232721986132856,0.007970051926095883,0.0006037918125830214,0.0,0.0007245501750996257,0.0,0.0,30,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,__MSG_appName__
