All http domains,All https domains,webRequest,webRequestBlocking,tabs,storage,notifications,cookies,management,contextmenus,security_policy,dynamic_code_gen_functions,whitespace %,avg_line_length,specific_characters,word_size,string_entropy,DOM_operations,DOM_change_sinks,event_handlers,HTTP_scripts,modification_callbacks,XMLHttpRequests,keyword_density,DOM_operations_density,DOM_change_sinks_density,XMLHttpRequests_density,event_handlers_density,modification_callbacks_density,HTTP_scripts_density,num_background_image,num_behavior,num_import_rules,num_external_urls,num_iframe_tags,num_form_tags,num_script_tags,num_inline_event_handlers,num_password_inputs,num_meta_refresh,num_http_urls,num_javascript_urls,num_data_urls,num_external_iframe_src,num_external_script_src,num_script_src_attrs,Extension Name
0,0,0,0,0,1,0,0,0,0,0,20,0.4230842617267801,41.148448644793156,0.11203462749257405,4.216523679331259,2.9339585776087937,108,13,41,0,0,1,0.032247347887962574,0.0019258202567760342,0.000231811697574893,1.783166904422254e-05,0.0007310984308131241,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,__MSG_appName__
0,0,0,0,0,1,0,0,0,0,0,20,0.4235109873825499,41.09337748344371,0.11240726558981998,4.203583149998197,2.93013715229931,107,13,37,0,0,1,0.03219785768384607,0.0019151601933058886,0.00023268301413996778,1.7898693395382138e-05,0.0006622516556291391,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,__MSG_appName__
0,0,0,0,1,1,0,0,0,0,0,10,0.43086527076834724,40.09051236463553,0.098115419261194,3.843990726198489,3.103336601005623,82,17,18,0,0,5,0.0651409767407075,0.013253596250202037,0.002747696783578471,0.0008081461128171974,0.0029093260061419106,0.0,0.0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,__MSG_name__
1,1,0,0,0,1,0,0,0,0,1,2,0.2603016361735866,64.18400926998841,0.13486166120327378,4.129524490328967,2.9828056055596734,66,5,6,0,0,0,0.07507251556850832,0.00764774044032445,0.0005793742757821553,0.0,0.0006952491309385864,0.0,0.0,30,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,__MSG_appName__
0,0,0,0,0,1,0,0,0,0,0,20,0.4122010118881336,42.24841596563451,0.11047956048049166,4.494044585556372,2.973693009636799,107,13,37,0,0,1,0.03317533407597494,0.0019151601933058886,0.00023268301413996778,1.7898693395382138e-05,0.0006622516556291391,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,__MSG_appName__
0,0,0,0,0,1,0,0,0,0,0,16,0.38893326468451217,39.664175161915196,0.11965393295191536,4.219283421061552,2.974006471763657,95,13,35,0,0,0,0.029122217433622748,0.0018588451679809029,0.0002543682861447551,0.0,0.0006848376934666484,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,__MSG_appName__
0,0,0,0,0,1,0,0,0,0,0,19,0.3919423020109914,39.99001981224656,0.11864162541660381,4.204264117748415,2.9903927253319753,104,13,44,0,0,1,0.03190379889180096,0.0019256763012202123,0.00024070953765252653,1.851611828096358e-05,0.0008147092043623975,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,__MSG_appName__
0,0,0,0,0,1,0,0,0,0,0,20,0.4240205320223287,41.057421645052536,0.1122822703476252,4.195910426570096,2.9315699439317537,108,13,40,0,0,1,0.032260093635146425,0.0019265416793021637,0.00023189853547155677,1.783834888242744e-05,0.0007135339552970977,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,__MSG_appName__
1,1,0,0,0,1,0,0,0,0,1,2,0.25728763060490606,54.38705428544548,0.13349176070106658,4.2700244747295075,3.3155263003029494,66,5,6,0,0,0,0.07684797581950222,0.006209427039232289,0.00047041113933577947,0.0,0.0005644933672029354,0.0,0.0,30,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,__MSG_appName__
1,1,0,0,0,1,0,0,0,0,1,1,0.26056349375437515,64.38183307971438,0.13524637857599395,4.125045015097371,2.9883906161924325,66,5,6,0,0,0,0.07435109005789634,0.00772562331733583,0.0005852744937375629,0.0,0.0007023293924850755,0.0,0.0,30,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,__MSG_appName__
0,0,0,0,0,1,0,0,0,0,0,16,0.3893222645043302,39.62891782317168,0.11951092202501233,4.214113776585737,2.9751078575426195,96,13,38,0,0,0,0.02918943951066324,0.0018711991267737408,0.0002533915484172774,0.0,0.0007406829876812724,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,__MSG_appName__
1,1,0,0,0,1,0,0,0,0,1,1,0.27864095648042037,56.31257509010813,0.13471643793498617,4.124182553757482,2.9554095184678073,66,5,6,0,0,0,0.07550986477499445,0.006607929515418502,0.000500600720865038,0.0,0.0006007208650380457,0.0,0.0,30,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,__MSG_appName__
0,0,0,0,0,1,0,0,0,0,0,16,0.36793006778495047,41.97312897312897,0.11603442157719579,4.724701586454122,3.043392805580106,96,13,38,0,0,0,0.029269315841659677,0.001872001872001872,0.0002535002535002535,0.0,0.000741000741000741,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,__MSG_appName__
0,0,0,0,0,1,0,0,0,0,0,16,0.38932490502076617,39.62874239825355,0.11950951903254793,4.214020057596851,2.97512245421912,96,13,38,0,0,0,0.02919398175617333,0.0018711991267737408,0.0002533915484172774,0.0,0.0007406829876812724,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,__MSG_appName__
0,0,0,0,0,1,0,0,0,0,0,16,0.38819871170114684,39.72994251193608,0.1192898902080005,4.235082088868971,2.980991451167903,96,13,38,0,0,0,0.02920214534572738,0.001870798012277112,0.00025333723082919226,0.0,0.0007405242131930235,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,__MSG_appName__
1,1,0,0,0,1,0,0,0,0,1,2,0.23832120497984047,63.15505373747132,0.13920814965120787,4.064764594050548,3.101614053491761,66,5,6,0,0,0,0.07232721986132856,0.007970051926095883,0.0006037918125830214,0.0,0.0007245501750996257,0.0,0.0,30,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,__MSG_appName__
1,1,0,0,0,1,0,0,0,0,1,1,0.25998998049775457,63.66689806780053,0.13552808144423967,4.125300738364537,2.9926167678333733,66,5,6,0,0,0,0.07545421863333425,0.0076362374175633465,0.0005785028346638898,0.0,0.0006942034015966678,0.0,0.0,30,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,__MSG_appName__
