All http domains,All https domains,webRequest,webRequestBlocking,tabs,storage,notifications,cookies,management,contextmenus,security_policy,dynamic_code_gen_functions,whitespace %,avg_line_length,specific_characters,word_size,string_entropy,DOM_operations,DOM_change_sinks,event_handlers,HTTP_scripts,modification_callbacks,XMLHttpRequests,keyword_density,DOM_operations_density,DOM_change_sinks_density,XMLHttpRequests_density,event_handlers_density,modification_callbacks_density,HTTP_scripts_density,num_background_image,num_behavior,num_import_rules,num_external_urls,num_iframe_tags,num_form_tags,num_script_tags,num_inline_event_handlers,num_password_inputs,num_meta_refresh,num_http_urls,num_javascript_urls,num_data_urls,num_external_iframe_src,num_external_script_src,num_script_src_attrs,Extension Name
0,0,0,0,1,1,0,1,0,0,1,133,0.5438812528816922,63.135501581950116,0.07767310617831391,3.87472117894434,2.57248383706319,1916,63,166,0,0,3,0.042188314858489784,0.0069758720750306745,0.00022937366426249085,1.0922555441070992e-05,0.0006043814010725949,0.0,0.0,0,0,0,8,0,0,5,0,0,0,0,0,0,0,0,5,__MSG_name__
0,0,0,0,1,1,1,1,0,0,1,44,0.43767176309537353,21.370448935513732,0.07922351874265104,5.568455293295338,3.1044427180078613,175,42,44,0,0,15,0.0673100704338943,0.001687365010799136,0.00040496760259179265,0.00014463128663992595,0.00042425177414378277,0.0,0.0,251,0,0,10,0,0,17,0,0,0,0,0,0,0,1,16,__MSG_extName__
0,0,0,0,0,1,0,0,0,0,0,41,0.5299982299216798,51.51833071753391,0.08062323614760461,3.67468174168213,2.297312188693785,211,8,29,0,0,3,0.06232253053122168,0.0042456436878747636,0.0001609722725260574,6.036460219727152e-05,0.000583524487906958,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Where is Cookie?
0,0,0,0,0,1,0,0,0,0,0,9,0.4351940675772387,60.23519813519813,0.08176876341875657,4.6588205193808365,3.067735120495203,351,42,53,0,0,0,0.053430557332309926,0.08181818181818182,0.009790209790209791,0.0,0.012354312354312355,0.0,0.0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,__MSG_extName__
0,0,1,0,1,1,0,0,0,0,0,64,0.5033750275908814,40.42270595145871,0.07953058713806621,4.872253044547792,2.6791412396411975,212,31,43,0,1,0,0.0743571741528846,0.0018047621885295445,0.00026390390492649,0.0,0.0003660602552206151,8.513029191177097e-06,0.0,65,0,0,2,1,8,34,1,0,0,0,0,0,0,0,34,Proxy SwitchyOmega (V3)
0,0,0,0,0,1,0,0,0,0,0,125,0.5334275252201176,55.40976286323196,0.09115044035506663,3.362701615588498,2.779162019439858,163,14,38,0,0,0,0.04159507731649818,0.005514021853117283,0.0004735969689793985,0.0,0.001285477487229796,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,__MSG_name__
0,0,1,0,0,1,0,0,0,0,0,15,0.37673669481240973,43.737143675691165,0.11325859822031809,4.287452867784556,3.021740949125211,82,13,9,0,0,0,0.06894331872106925,0.011746168170749176,0.00186219739292365,0.0,0.001289213579716373,0.0,0.0,15,0,0,1,0,0,4,0,3,0,0,0,0,0,0,4,VPNCity - Fast & Unlimited VPN | Unblocker
0,0,1,1,1,0,0,0,0,0,0,1,0.3719241629689391,31.844370860927153,0.09661153691004437,4.989130434782608,3.246572525671557,15,2,1,0,1,0,0.042391304347826085,0.04966887417218543,0.006622516556291391,0.0,0.0033112582781456954,0.0033112582781456954,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Browsing Protector
0,0,1,0,1,1,0,0,0,0,0,11,0.5307023096688429,38.91443911682793,0.09051214396082166,3.615127286531116,2.834509703852887,229,17,30,0,2,2,0.055058641169818186,0.0065749806195986105,0.0004880989979614689,5.742341152487869e-05,0.0008613511728731804,5.742341152487869e-05,0.0,2,0,0,14,0,0,131,0,0,0,0,0,0,0,0,118,Uvoice
0,0,1,0,0,1,0,0,0,0,1,256,0.511863983034821,53.995330410933214,0.06710767561707906,4.615128115065787,2.7489992483410646,1650,80,98,0,2,8,0.08101008945875482,0.0025785883400923602,0.00012502246497417504,1.2502246497417504e-05,0.00015315251959336444,3.125561624354376e-06,0.0,5,0,0,4,0,0,4,0,0,0,1,0,0,0,0,4,Primus
